Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-15,107.047,108.157,105.401,106.22,5325429,1.204,0.0
2019-08-16,106.898,109.654,106.634,109.376,4164233,0.0,0.0
2019-08-19,110.873,111.036,109.566,110.358,3824808,0.0,0.0
2019-08-20,110.467,110.467,109.011,109.045,2465793,0.0,0.0
2019-08-21,110.182,110.832,109.072,109.139,1941826,0.0,0.0
2019-08-22,109.715,110.345,108.462,108.957,1724154,0.0,0.0
2019-08-23,108.415,108.598,105.157,105.55,5051784,0.0,0.0
2019-08-26,106.336,106.647,105.028,105.733,2649499,0.0,0.0
2019-08-27,106.552,106.654,105.245,105.482,2728196,0.0,0.0
2019-08-28,105.042,106.857,104.297,106.701,2806892,0.0,0.0
2019-08-29,107.886,109.058,107.717,108.604,3791918,0.0,0.0
2019-08-30,109.424,109.817,108.638,109.525,2352532,0.0,0.0
2019-09-03,109.309,109.464,106.505,107.439,2195617,0.0,0.0
2019-09-04,108.245,108.787,107.677,108.408,1801894,0.0,0.0
2019-09-05,110.054,112.702,109.979,111.225,2895994,0.0,0.0
2019-09-06,111.503,111.666,110.358,111.029,2107711,0.0,0.0
2019-09-09,111.747,113.677,111.537,112.383,3697195,0.0,0.0
2019-09-10,112.532,114.524,112.431,114.361,3875279,0.0,0.0
2019-09-11,115.038,115.059,111.997,113.833,4280604,0.0,0.0
2019-09-12,114.876,116.386,114.192,115.526,3432998,0.0,0.0
2019-09-13,115.533,116.813,115.038,116.108,3030903,0.0,0.0
2019-09-16,115.953,115.953,113.718,114.91,2941323,0.0,0.0
2019-09-17,113.616,114.165,112.763,113.826,3248814,0.0,0.0
2019-09-18,113.514,113.812,111.916,113.399,2507653,0.0,0.0
2019-09-19,113.365,114.327,113.04,113.149,1941108,0.0,0.0
2019-09-20,113.393,114.571,112.749,112.939,4423884,0.0,0.0
2019-09-23,112.079,113.393,111.408,112.939,2318566,0.0,0.0
2019-09-24,113.135,113.474,111.178,111.571,3572213,0.0,0.0
2019-09-25,111.584,111.733,110.86,111.07,3298807,0.0,0.0
2019-09-26,111.07,111.347,110.257,110.954,3304907,0.0,0.0
2019-09-27,111.395,112.18,110.744,111.429,3432879,0.0,0.0
2019-09-30,111.889,112.133,111.029,111.34,3000166,0.0,0.0
2019-10-01,111.747,111.889,107.121,107.263,3912714,0.0,0.0
2019-10-02,106.369,106.478,104.724,105.414,3554871,0.0,0.0
2019-10-03,105.069,105.286,102.137,105.13,3618737,0.0,0.0
2019-10-04,105.13,105.685,104.568,105.53,3165094,0.0,0.0
2019-10-07,104.974,105.211,103.972,103.972,2955555,0.0,0.0
2019-10-08,103.166,103.484,101.981,102.089,3327033,0.0,0.0
2019-10-09,103.173,103.241,102.123,102.258,4016886,0.0,0.0
2019-10-10,102.231,103.681,102.177,103.152,3817632,0.0,0.0
2019-10-11,104.385,108.09,104.371,107.074,5585559,0.0,0.0
2019-10-14,107.033,109.979,106.559,108.706,3910681,0.0,0.0
2019-10-15,107.92,111.083,107.92,110.379,3705926,0.0,0.0
2019-10-16,110.46,111.205,109.796,109.837,2314499,0.0,0.0
2019-10-17,110.487,112.079,110.446,110.758,2325742,0.0,0.0
2019-10-18,110.772,111.252,110.379,110.46,3221665,0.0,0.0
2019-10-21,112.065,112.526,111.584,112.383,2390326,0.0,0.0
2019-10-22,112.607,114.395,111.815,113.467,2468544,0.0,0.0
2019-10-23,113.379,114.293,112.803,114.293,3243911,0.0,0.0
2019-10-24,111.855,111.916,108.11,109.641,7120147,0.0,0.0
2019-10-25,110.06,113.528,109.803,112.485,3713341,0.0,0.0
2019-10-28,112.749,114.937,112.559,114.496,3753048,0.0,0.0
2019-10-29,113.799,115.099,113.447,114.327,3192602,0.0,0.0
2019-10-30,113.934,114.165,113.122,114.029,2129358,0.0,0.0
2019-10-31,114.124,114.158,110.765,111.74,3173108,0.0,0.0
2019-11-01,113.061,115.235,112.912,115.194,2951010,0.0,0.0
2019-11-04,116.23,118.519,116.23,118.452,4954789,0.0,0.0
2019-11-05,118.519,118.831,117.686,118.702,2756062,0.0,0.0
2019-11-06,118.458,118.519,116.731,117.842,3603428,0.0,0.0
2019-11-07,119.014,119.677,117.7,118.194,4017125,0.0,0.0
2019-11-08,118.235,118.431,116.562,117.266,1932258,0.0,0.0
2019-11-11,116.826,116.826,114.896,115.208,3186503,0.0,0.0
2019-11-12,115.377,116.535,115.153,115.702,2081518,0.0,0.0
2019-11-13,115.208,116.074,114.849,115.506,1960005,0.0,0.0
2019-11-14,115.12,116.704,115.086,115.763,1930224,0.0,0.0
2019-11-15,116.257,116.955,115.837,116.406,3129812,0.0,0.0
2019-11-18,115.668,115.946,114.571,115.499,2828062,0.0,0.0
2019-11-19,116.298,116.298,114.815,115.594,2142993,0.0,0.0
2019-11-20,114.991,115.133,113.203,113.623,3216642,0.0,0.0
2019-11-21,113.998,114.08,112.38,112.81,4312656,1.204,0.0
2019-11-22,113.056,114.593,112.714,114.49,3908887,0.0,0.0
2019-11-25,115.085,116.376,114.675,116.294,3303232,0.0,0.0
2019-11-26,115.993,116.301,115.249,115.604,3122636,0.0,0.0
2019-11-27,116.13,117.066,115.795,116.547,1592474,0.0,0.0
2019-11-29,116.424,116.526,115.624,115.973,1127230,0.0,0.0
2019-12-02,116.239,117.291,114.928,114.948,2801271,0.0,0.0
2019-12-03,113.739,113.807,112.304,112.83,3231592,0.0,0.0
2019-12-04,113.684,115.358,113.397,114.176,2558483,0.0,0.0
2019-12-05,114.231,114.675,111.157,112.284,3957923,0.0,0.0
2019-12-06,114.251,117.489,114.251,117.134,4640480,0.0,0.0
2019-12-09,115.72,116.991,115.303,116.014,2461607,0.0,0.0
2019-12-10,115.535,115.713,114.06,114.531,3193918,0.0,0.0
2019-12-11,115.023,115.337,114.306,115.269,2223364,0.0,0.0
2019-12-12,113.896,116.71,113.623,115.146,3435390,0.0,0.0
2019-12-13,115.87,116.895,114.818,115.303,2509208,0.0,0.0
2019-12-16,115.406,116.697,114.893,116.642,3488971,0.0,0.0
2019-12-17,116.369,117.353,115.59,116.082,3196430,0.0,0.0
2019-12-18,115.98,116.13,114.893,115.467,2715398,0.0,0.0
2019-12-19,115.87,117.892,115.549,117.599,3298090,0.0,0.0
2019-12-20,119.402,119.866,117.633,119.798,8985548,0.0,0.0
2019-12-23,120.714,122.401,120.611,121.916,5832055,0.0,0.0
2019-12-24,121.779,122.052,120.256,120.693,1506362,0.0,0.0
2019-12-26,120.536,120.679,119.887,120.632,1716499,0.0,0.0
2019-12-27,120.673,121.281,119.969,121.089,1761588,0.0,0.0
2019-12-30,121.089,122.251,119.948,120.112,2051260,0.0,0.0
2019-12-31,119.703,120.632,119.593,120.515,1881906,0.0,0.0
2020-01-02,121.376,122.968,121.007,122.961,4307633,0.0,0.0
2020-01-03,120.925,122.046,119.976,121.902,2950412,0.0,0.0
2020-01-06,121.014,122.08,120.468,122.018,2389608,0.0,0.0
2020-01-07,121.786,121.943,120.789,121.526,2598908,0.0,0.0
2020-01-08,121.595,123.986,121.356,123.391,3298927,0.0,0.0
2020-01-09,123.993,124.047,122.797,123.781,3284575,0.0,0.0
2020-01-10,124.061,124.45,123.057,123.282,2516145,0.0,0.0
2020-01-13,123.603,124.484,123.207,123.589,2500597,0.0,0.0
2020-01-14,123.589,124.703,123.104,123.897,3481795,0.0,0.0
2020-01-15,123.931,124.232,122.401,122.811,2968711,0.0,0.0
2020-01-16,123.426,123.781,122.749,123.651,2571280,0.0,0.0
2020-01-17,123.644,124.43,123.439,123.883,4413360,0.0,0.0
2020-01-21,124.225,124.266,122.025,122.544,4027769,0.0,0.0
2020-01-22,122.626,123.35,121.513,121.615,2894559,0.0,0.0
2020-01-23,120.959,121.895,120.495,121.417,2820646,0.0,0.0
2020-01-24,121.929,122.831,121.274,121.697,3161148,0.0,0.0
2020-01-27,122.865,123.364,119.914,119.976,5216234,0.0,0.0
2020-01-28,117.428,117.728,112.748,113.11,10669157,0.0,0.0
2020-01-29,113.636,113.718,110.344,110.665,6391304,0.0,0.0
2020-01-30,109.982,111.102,108.452,111.013,5211092,0.0,0.0
2020-01-31,110.665,111.109,108.09,108.383,6865399,0.0,0.0
2020-02-03,109.319,109.51,106.826,106.969,4694898,0.0,0.0
2020-02-04,109.142,109.271,107.249,107.413,5219224,0.0,0.0
2020-02-05,108.698,110.89,108.411,110.89,3729367,0.0,0.0
2020-02-06,112.366,112.714,110.986,111.273,4082905,0.0,0.0
2020-02-07,110.262,110.61,109.046,109.353,3272495,0.0,0.0
2020-02-10,109.442,110.159,108.527,109.401,3294741,0.0,0.0
2020-02-11,109.982,111.02,109.312,110.972,2721020,0.0,0.0
2020-02-12,112.195,112.742,111.737,111.895,3272734,0.0,0.0
2020-02-13,111.502,111.577,109.599,110.123,4083024,1.229,0.0
2020-02-14,110.185,111.074,109.475,110.985,2671266,0.0,0.0
2020-02-18,110.537,110.654,108.937,109.516,2964764,0.0,0.0
2020-02-19,109.654,110.612,109.158,109.833,2746494,0.0,0.0
2020-02-20,109.599,111.247,109.254,109.296,3917020,0.0,0.0
2020-02-21,109.137,109.316,107.614,108.172,4228219,0.0,0.0
2020-02-24,106.463,106.642,104.926,105.153,4348178,0.0,0.0
2020-02-25,105.677,105.767,100.618,101.224,6295026,0.0,0.0
2020-02-26,103.099,104.65,102.079,102.679,6161912,0.0,0.0
2020-02-27,104.243,107.138,102.706,103.506,9856954,0.0,0.0
2020-02-28,106.215,108.028,100.638,102.872,13753641,0.0,0.0
2020-03-02,104.319,105.76,102.272,105.477,9599455,0.0,0.0
2020-03-03,105.077,106.153,99.563,100.114,9922614,0.0,0.0
2020-03-04,101.341,106.153,100.631,106.139,6905465,0.0,0.0
2020-03-05,103.947,106.394,103.085,104.367,7040852,0.0,0.0
2020-03-06,103.113,106.663,101.927,105.911,8557500,0.0,0.0
2020-03-09,101.045,103.023,98.949,99.301,9800502,0.0,0.0
2020-03-10,102.72,105.725,99.866,105.67,6759433,0.0,0.0
2020-03-11,103.209,103.209,100.962,101.493,5678847,0.0,0.0
2020-03-12,96.475,97.681,89.844,92.077,9826097,0.0,0.0
2020-03-13,97.199,97.667,90.299,97.66,7870039,0.0,0.0
2020-03-16,89.513,93.401,88.238,90.237,8899197,0.0,0.0
2020-03-17,90.947,94.276,89.341,92.67,7816338,0.0,0.0
2020-03-18,88.548,96.068,88.5,94.448,8205038,0.0,0.0
2020-03-19,94.924,96.626,91.629,94.786,7613377,0.0,0.0
2020-03-20,95.172,95.978,84.584,86.087,11468683,0.0,0.0
2020-03-23,88.341,88.506,78.608,81.248,9489423,0.0,0.0
2020-03-24,84.295,91.987,83.406,91.484,11136793,0.0,0.0
2020-03-25,91.781,92.842,87.404,90.671,9260030,0.0,0.0
2020-03-26,90.843,94.007,90.03,93.869,8033532,0.0,0.0
2020-03-27,91.56,94.483,90.237,91.843,5097711,0.0,0.0
2020-03-30,91.16,95.131,90.34,94.945,4627922,0.0,0.0
2020-03-31,93.531,96.116,93.525,94.097,4321985,0.0,0.0
2020-04-01,90.988,93.635,90.306,91.774,4518010,0.0,0.0
2020-04-02,91.236,95.269,91.057,95.062,4772399,0.0,0.0
2020-04-03,93.752,94.738,91.608,92.222,4291607,0.0,0.0
2020-04-06,95.027,97.364,94.366,96.985,6745081,0.0,0.0
2020-04-07,101.672,103.837,99.535,99.673,6573575,0.0,0.0
2020-04-08,100.452,103.202,99.198,102.699,3673036,0.0,0.0
2020-04-09,102.334,103.209,101.01,101.865,5721305,0.0,0.0
